company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Planet Labs,15721567,US10670711,Systems for Synthetic Aperture Radar Transmit and Receive Antennas,,grant,granted,Planet Labs Inc.,US,2017-09-29,2017,2020-06-02,2020,G01S13/9058|G01S7/025|G01S7/026|G01S7/03|G01S7/032|G01S13/10|G01S13/9011|G01S2013/0245,Remote Sensing / GPS,2,,1,2017-09-29,2020-06-02,,Kiruthika Devaraj; Ming-chun Paul Lee,0,0
Planet Labs,15681634,US11225337,Parallel Calculation of Satellite Access Windows and Native Program Implementation Framework,,grant,granted,"Planet Labs TB, Inc.",US,2017-08-21,2017,2022-01-18,2022,B64G1/1021|B64G1/1028|G06F9/3888|B64G1/1085|G06F9/3887|G06F9/5038|G06F9/505|G06Q10/0631,Spacecraft / Launch Systems,1,,1,2017-08-21,2022-01-18,,Sean Augenstein,0,0
Planet Labs,15640305,US10616516,Systems and Methods for Implementing Time Delay Integration Imaging Techniques in Conjunction with Distinct Imaging Regions on a Monolithic Charge-Coupled Device Image Sensor,,grant,granted,Planet Labs Inc.,US,2017-06-30,2017,2020-04-07,2020,H04N25/711|H10F39/8053|H04N25/134|H04N25/131|H04N25/135|H04N25/11|H04N25/75|H04N23/84,Satellite / Wireless Comms,2,,1,2017-06-30,2020-04-07,,Ignacio Zuleta; Adam Fritzler,0,0
Planet Labs,15640280,US10551491,Systems and Methods for Performing Synthetic Aperture Radar Imaging Using Superchirps,,grant,granted,Planet Labs Inc.,US,2017-06-30,2017,2020-02-04,2020,G01S13/9052|G01S13/9054|G01S13/9076|G01S13/9041|G01S13/26|G01S13/346,Remote Sensing / GPS,3,,1,2017-06-30,2020-02-04,,Michael Rubel; Creon Levit; Matthew Ferraro,0,0
Planet Labs,15230785,US10432866,Controlling a Line of Sight Angle of an Imaging Platform,,grant,granted,"Planet Labs, Inc.",US,2016-08-08,2016,2019-10-01,2019,H04N23/687|H04N23/6812|H04N23/685|H04N23/6811|G01C11/02|G02B27/64,Satellite / Wireless Comms,6,,1,2016-08-08,2019-10-01,,M. Dirk Robinson; Jonathan Dyer; Joshua Levine; Brendan Hermalyn; Ronny Votel; Matt William Messana,0,0
Planet Labs,15197540,US9651946,Automated Schedule Calculation for Controlling a Constellation of Satellites,,grant,granted,Planet Labs Inc.,US,2016-06-29,2016,2017-05-16,2017,B64G1/1021|G05D1/0027|B64G1/244|B64G1/1085,Spacecraft / Launch Systems,2,,1,2016-06-29,2017-05-16,,Michael Rubel; James Mason,0,0
Planet Labs,15071357,US9996905,Systems and Methods for Enhancing Object Visibility for Overhead Imaging,,grant,granted,"Planet Labs, Inc.",US,2016-03-16,2016,2018-06-12,2018,G01C11/02|G06T7/33|G06T7/70|G06V10/20|G06V10/88|H04N25/768|G01C11/04|G01N21/55,Computing / Software,2,,1,2016-03-16,2018-06-12,,Louis Hu Rousmaniere; Kenneth James Kryda,0,0
Planet Labs,15048714,US10146044,Compact Spherical Diffraction Limited Telescope System for Remote Sensing in a Satellite System,,grant,granted,Planet Labs Inc.,US,2016-02-19,2016,2018-12-04,2018,G02B23/06|B64G1/1021|G02B17/08|G02B17/0808|G02B17/0856,Spacecraft / Launch Systems,2,,1,2016-02-19,2018-12-04,,Benjamin Haldeman; Joseph Warga,0,0
Planet Labs,15016851,US9996810,Satellite Scheduling System,,grant,granted,"Planet Labs, Inc.",US,2016-02-05,2016,2018-06-12,2018,G06Q10/06314|G06F16/29|B64G1/1021|B64G1/1085|B64G1/242|Y10S707/919|Y10S707/921,Computing / Software,3,,1,2016-02-05,2018-06-12,,Sean Augenstein; Julian M. Mann; Daniel Berkenstock,0,0
Planet Labs,14945836,US10277309,Predicting Radio Frequency Interference Events,,grant,granted,"Planet Labs, Inc.",US,2015-11-19,2015,2019-04-30,2019,H04B7/18513,Satellite / Wireless Comms,2,,1,2015-11-19,2019-04-30,,Laurren Kanner; Craig RayDean Scheffler,0,0
Planet Labs,14585866,US10325295,Pricing of Imagery and Collection Priority Weighting,,grant,granted,"Planet Labs, Inc.",US,2014-12-30,2014,2019-06-18,2019,G06Q30/0283,Computing / Software,3,,1,2014-12-30,2019-06-18,,Sean Augenstein; Daniel Berkenstock; Julian M. Mann,0,0
Planet Labs,14522701,US10762458,Satellite Scheduling System,,grant,granted,"Planet Labs, Inc.",US,2014-10-24,2014,2020-09-01,2020,G06Q10/06314|G06F16/22|B64G1/1028|B64G1/1021|B64G1/1078|B64G1/1085,Computing / Software,1,,1,2014-10-24,2020-09-01,,Sean Augenstein,0,0
Planet Labs,13886055,US10061474,OVERHEAD IMAGE VIEWING SYSTEMS AND METHODS,,grant,granted,"Planet Labs, Inc.",US,2013-05-02,2013,2018-08-28,2018,G06F3/0482|G06F3/04847|G01C11/02|G01C21/00,Computing / Software,10,,1,2013-05-02,2018-08-28,,Greg Bertoldo; Carlos Cervantes; Richard J. Cirminello JR.; James Long; Julian Mann; Daniel Berkenstock; Oliver Guinan; Ching-Yu Hu; Adam Wegel; Christopher Kelley,0,0
