company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Maxar Technologies,16150177,US10503975,MOVEMENT INTELLIGENCE USING SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2018-10-02,2018,2019-12-10,2019,G06V20/182|G06F16/5866|G06F16/29|G06F16/56|G06V10/25|G06V20/54|G06V10/62|G06V40/20,Computing / Software,1,,1,2018-10-02,2019-12-10,,Ken Campbell,0,0
Maxar Technologies,16140052,US10685253,ADVANCED CLOUD DETECTION USING NEURAL NETWORKS AND OPTIMIZATION TECHNIQUES,,grant,granted,"DIGITALGLOBE, INC.",US,2018-09-24,2018,2020-06-16,2020,G06N3/08|G06T7/162|G06T7/143|G06T7/11|G06F16/9024|G06V20/194|G06V20/13|G06F18/24,Computing / Software,1,,1,2018-09-24,2020-06-16,,MICHAEL ASCHENBECK,0,0
Maxar Technologies,16027235,US10395388,BROAD AREA GEOSPATIAL OBJECT DETECTION USING AUTOGENERATED DEEP LEARNING MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2018-07-03,2018,2019-08-27,2019,G06T7/74|G06T7/344|G06T7/33|G06V10/454|G06V10/82|G06V10/764|G06V20/13|G06F18/24137,Computing / Software,4,,1,2018-07-03,2019-08-27,,Adam Estrada; Andrew Jenkins; Benjamin Brock; Chris Mangold,0,0
Maxar Technologies,16000844,US10832390,ATMOSPHERIC COMPENSATION IN SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2018-06-05,2018,2020-11-10,2020,G06T5/20|G06T7/514|G06T2207/10032|G06T2207/10036|G06T2207/10041|G06T2207/30181,Computing / Software,1,,1,2018-06-05,2020-11-10,,Fabio Pacifici,0,0
Maxar Technologies,15906348,US10372985,SYSTEM FOR SIMPLIFIED GENERATION OF SYSTEMS FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2018-02-27,2018,2019-08-06,2019,G06N3/08|G06T7/10|G06T7/73|G06N20/20|G06V10/50|G06V20/176|G06V10/774|G06V10/776,Computing / Software,3,,1,2018-02-27,2019-08-06,,Adam Estrada; Kevin Green; Andrew Jenkins,0,0
Maxar Technologies,15860281,US10346952,AUTOMATED SEAMLINE CONSTRUCTION FOR HIGH-QUALITY HIGH-RESOLUTION ORTHOMOSAICS,,grant,granted,"DigitalGlobe, Inc.",US,2018-01-02,2018,2019-07-09,2019,G06T3/4038|G06F16/5838|G06F16/532|G06F16/56,Computing / Software,1,,1,2018-01-02,2019-07-09,,Seth Malitz,0,0
Maxar Technologies,15825478,US10577131,SENSOR SHIFT FOR REMOTE SENSING,,grant,granted,"DigitalGlobe, Inc.",US,2017-11-29,2017,2020-03-03,2020,B64G1/1021|H04N25/48|H04N25/41|B64G1/1028|B64G1/242|B64G1/361|G01C11/02|G01C11/06,Spacecraft / Launch Systems,1,,1,2017-11-29,2020-03-03,,VICTOR SOLANYK,0,0
Maxar Technologies,15812124,US10691942,UNSUPERVISED LAND USE AND LAND COVER DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2017-11-14,2017,2020-06-23,2020,G06T7/0004|G06T7/12|G06T7/11|G06T7/90|G06F16/5854|G06V10/30|G06V20/176|G06V20/13,Computing / Software,1,,1,2017-11-14,2020-06-23,,Georgios Ouzounis,0,0
Maxar Technologies,15802743,US10679055,ANOMALY DETECTION USING NON-TARGET CLUSTERING,,grant,granted,"DigitalGlobe, Inc.",US,2017-11-03,2017,2020-06-09,2020,G06T7/0004|G06T7/12|G06T7/11|G06T7/90|G06F16/5854|G06V10/30|G06V20/176|G06V20/13,Computing / Software,2,,1,2017-11-03,2020-06-09,,Georgios Ouzounis; Kostas Stamatiou,0,0
Maxar Technologies,15802313,US10372984,SHAPE-BASED SEGMENTATION USING HIERARCHICAL IMAGE REPRESENTATIONS FOR AUTOMATIC TRAINING DATA GENERATION AND SEARCH SPACE SPECIFICATION FOR MACHINE LEARNING ALGORITHMS,,grant,granted,"DigitalGlobe, Inc.",US,2017-11-02,2017,2019-08-06,2019,G06T7/0004|G06T7/12|G06T7/11|G06T7/90|G06F16/5854|G06V10/30|G06V20/176|G06V20/13,Computing / Software,3,,1,2017-11-02,2019-08-06,,Georgios Ouzounis; Kostas Stamatiou; Nikki Aldeborgh,0,0
